nombre;precio normal;precio oferta;marca;peso (kg);memoria interna;memoria ram;procesador;tipo procesador;camara frontal;camara posterior rango;camara posterior;capacidad de bateria;resolución de la pantalla;tamaño de pantalla rango;tamaño de la pantalla;sistema operativo rango;sistema operativo;compañia;resistente al agua;tipo de conector;conectividad;entrada de audio;bluetooth;tipo de pantalla;sim;cantidad de cámaras;lector de huella digital;zoom digital (x);usb;nfc;zona wi-fi;localizacion;chip de compañia incluido;flash;contrato;enfoque automatico;radio;formatos video;reproduce formato(s) de audio;velocidad cpu;bateria;garantia;tipo de producto;modelo;alto (cm);ancho (cm);largo (cm)
"IPHONE 13 6.1"" 128GB 12MP + 12MP - BLANCO ESTELAR";S/ 4,099;S/ 3,999;APPLE;173 g;128GB;;;;12MP;Más de 10MP;12MP;;;Entre 4.5 a 4.9'';6.1;iOS;;Desbloqueado;;;5G;;;;Single Chip;;;;No;;;;;Sí;;Sí;;;;;;1 año;Celulares y smartphones;iPhone 13;14.67;7.15;0.76
"IPHONE 13 6.1"" 128GB 12MP + 12MP - AZUL MEDIANOCHE";S/ 4,099;S/ 3,999;APPLE;;128GB;;;;12MP;Más de 10MP;12MP;;;Entre 4.5 a 4.9'';6.1;iOS;;Desbloqueado;;;5G;;;;Single Chip;;;;No;;;;;Sí;;Sí;;;;;;1 año;Celulares y smartphones;iPhone 13;1.7;7.15;0.76
"IPHONE 13 PRO 6.1"" 128GB 12MP + 12MP - AZUL SIERRA";S/ 4,799;S/ 4,699;APPLE;203 g;128GB;;;;12MP;Más de 10MP;12MP;;;"Entre 5.5 a 6.9 """;6.1;iOS;;Desbloqueado;;;5G;;;;Single Chip;;;;No;;;;;Sí;;Sí;;;;;;1 año;Celulares y smartphones;iPhone 13 Pro;74.67;7.15;0.76
"CELULAR MOTOROLA MOTO EDGE 30 NEO 6"" 8GB 128MB 64MP + 13MP MORADO";S/ 1,699;S/ 1,629;MOTOROLA;0.165;128GB;8GB;SNAPDRAGON;Snapdragon 695;32MP;Más de 10MP;64MP+13MP;4020mAh;;"Entre 5.5 a 6.9 """;6;Android > a 5.0;Android 12;Desbloqueado;No;USB-C;5G;Sí;Sí;OLED;Single Chip;;Sí;Sí;No;Sí;Sí;Sí;;Sí;;Sí;No;1080p@30/60/120fps;MP3;2.4GHz;4020mAh;1 año;Celulares y Smartphones;EDGE 30 NEO ;15.29;7.12;0.775
"CELULAR MOTOROLA MOTO EDGE 30 FUSION 6.4"" 12GB 256MB 50MP + 13MP + 2MP NEGRO";S/ 2,499;S/ 2,399;MOTOROLA;168;256GB;12GB;SNAPDRAGON;Snapdragon 888;13MP;Más de 10MP;50MP+13MP+2MP ;4400mAh;;"Entre 5.5 a 6.9 """;6.4;Android > a 5.0;Android 12;Desbloqueado;No;USB-C;5G;Sí;Sí;OLED;Single Chip;;Sí;Sí;No;Sí;Sí;Sí;;Sí;;Sí;No;8K@30fps, 4K@30fps, 1080p@30/60/120fps, 720p@960fps, gyro-EIS;MP3;2.4GHz;4400mAh;1 año;Celulares y Smartphones;EDGE 30 FUSION ;15.84;7.19;0.745
"APPLE IPHONE 14 6.1"" 256GB 12MP + 12MP BLANCO ESTELAR";S/ 4,999;S/ 4,899;APPLE;0.172kg;256GB;No aplica;A15 Bionic;Apple Chip A15 Bionic;12MP;Más de 10MP;12 MP + 12 MP;-;;"Entre 5.5 a 6.9 """;"6.1""";iOS > 10;iOS 16;Desbloqueado;IP68;USB-C;;Sí;Sí;Super Retina XDR;Doble Chip;;No;;No;;;;;Sí;;Sí;No;Grabación de vídeo en formato HEVC y H.264;Formatos compatibles: AAC, MP3, Apple Lossless, FLAC, Dolby Digital, Dolby Digital Plus y Dolby Atmos (entre otros);CPU de 6 núcleos (2 de rendimiento y 4 de eficiencia);;1 año;Celulares y Smartphones;MPW43BE/A;14.67cm;7.15cm;0.78cm
"APPLE IPHONE 14 6.1"" 128GB 12MP + 12MP MEDIANOCHE";S/ 4,499;S/ 4,349;APPLE;0.172kg;128GB;No aplica;A15 Bionic;Apple Chip A15 Bionic;12MP;Más de 10MP;12 MP + 12 MP;-;;"Entre 5.5 a 6.9 """;"6.1""";iOS > 10;iOS 16;Desbloqueado;IP68;USB-C;;Sí;Sí;Super Retina XDR;Doble Chip;;No;;No;;;;;Sí;;Sí;No;Grabación de vídeo en formato HEVC y H.264;Formatos compatibles: AAC, MP3, Apple Lossless, FLAC, Dolby Digital, Dolby Digital Plus y Dolby Atmos (entre otros);CPU de 6 núcleos (2 de rendimiento y 4 de eficiencia);;1 año;Celulares y Smartphones;MPUF3BE/A;14.67cm;7.15cm;0.78cm
CELULAR VIVO Y16 64+4 DORADO LLOVIZNA; ; ;VIVO;0.35;64 GB;4GB;Mediatek;Helio P35;5 MP;Más de 10MP;13 MP + 2 MP;5000 mAh;;"Entre 5.5 a 6.9 """;;Android > a 5.0;Android 12;Desbloqueado;No;USB;4G;Sí;Sí;;Doble Chip;;Sí;;Sí;;;;;Sí;;Sí;Sí;MP4, 3GP, AVI, TS, MKV, FLV;WAV, MP3, MP2, AAC, WMA, M4A, OPUS, MP1, Vorbis, APE, FLAC;4 x 2,3 GHz Cortex-A53 y 4 x 1,8 GHz Cortex-A53);;1 AÑO;Celulares y Smartphones;Y16;18.4;9.5;6.7
"CELULAR SAMSUNG GALAXY S22 ULTRA 6.8"" 8GB 128GB 108MP + 10MP + 12MP + 10MP VERDE";S/ 4,399;S/ 4,199;SAMSUNG;228 g;128GB;8GB;;;40MP;Más de 10MP;108MP + 10MP + 12MP + 10MP;5000 mAh;;"Entre 7 a 8""";6.8;Android > a 5.0;Android 6;Desbloqueado;No;;3G/ 4G/ 5G;;Sí;Dynamic AMOLED 2X;;;Sí;;Sí;Sí;Sí;Sí;No;Sí;Desbloqueado;Sí;No;Sí;Sí;2.99GHz,2.4GHz,1.7GHz;;1 año;Celulares y smartphones;Galaxy S22 Ultra;16.33 cm;7.79 cm;0.89 cm
CELULAR VIVO Y16 64+4 GB NEGRO ESTELAR; ; ;VIVO;0.35;64 GB;4GB;Mediatek;Helio P35;5 MP;Más de 10MP;13 MP + 2 MP;5000 mAh;;"Entre 5.5 a 6.9 """;;Android > a 5.0;Android 12;Desbloqueado;No;USB;4G;Sí;Sí;;Doble Chip;;Sí;;Sí;;;;;Sí;;Sí;Sí;MP4, 3GP, AVI, TS, MKV, FLV;WAV, MP3, MP2, AAC, WMA, M4A, OPUS, MP1, Vorbis, APE, FLAC;4 x 2,3 GHz Cortex-A53 y 4 x 1,8 GHz Cortex-A53);;1 AÑO;Celulares y Smartphones;Y16;18.4;9.5;6.7
