nombre;precio normal;precio oferta;marca;peso (kg);memoria interna;memoria ram;procesador;tipo procesador;camara frontal;camara posterior rango;camara posterior;capacidad de bateria;resolución de la pantalla;tamaño de pantalla rango;tamaño de la pantalla;sistema operativo rango;sistema operativo;compañia;resistente al agua;tipo de conector;conectividad;entrada de audio;bluetooth;tipo de pantalla;sim;cantidad de cámaras;lector de huella digital;zoom digital (x);usb;nfc;zona wi-fi;localizacion;chip de compañia incluido;flash;contrato;enfoque automatico;radio;formatos video;reproduce formato(s) de audio;velocidad cpu;bateria;garantia;tipo de producto;modelo;alto (cm);ancho (cm);largo (cm)
"APPLE IPHONE SE 4.7"" 64GB 7MP 12MP AZUL MEDIANOCHE";S/ 2,399;S/ 2,199;APPLE;0.285;64GB;No aplica;;;7MP;Más de 10MP;12MP;No aplica;;Entre 4.5 a 4.9'';"4.7""";iOS;;Desbloqueado;IP67;;5G / Wi-Fi / Bluetooth;;Sí;Retina HD;;;Sí;;No;Sí;Sí;Sí;No;Sí;Desbloqueado;Sí;;No aplica;AAC, MP3, Apple Lossless, FLAC, Dolby Digital y Dolby Digital Plus (entre otros);No aplica;;1 año;;iPhone SE;15.7;8.59;2.61
"APPLE IPHONE SE 4.7"" 128GB 7MP 12MP AZUL MEDIANOCHE";S/ 2,699;S/ 2,499;APPLE;0.285;128GB;No aplica;;;7MP;Más de 10MP;12MP;No aplica;;Entre 4.5 a 4.9'';"4.7""";iOS;;Desbloqueado;IP67;;5G / Wi-Fi / Bluetooth;;Sí;Retina HD;;;Sí;;No;Sí;Sí;Sí;No;Sí;Desbloqueado;Sí;;No aplica;AAC, MP3, Apple Lossless, FLAC, Dolby Digital y Dolby Digital Plus (entre otros);No aplica;;1 año;;iPhone SE;15.7;8.59;2.61
CELULAR HUAWEI NOVA 9 8GB 128GB BLACK; ; ;HUAWEI;175g;128GB;8GB;;Qualcomm Snapdragon 778G 4G;32MP;Más de 10 MP;50MP + 8MP + 2MP + 2MP;;;Entre 4.5 a 4.9'';6.57;EMUI > a 10;;;;;Bluetooth;;;;Doble Chip;;;;Sí;;;;;Sí;;Sí;;;;Cortex-A78@2.42 GHz + 4 x Cortex-A55@1.8 GHz;4300 mAh ;1 año;Celulares y smartphones;;16;7.33;0.78
CELULAR SAMSUNG GALAXY S21 FE 6.4'' 8GB 256GB 12MP + 12MP + 8MP VIOLETA; ; ;SAMSUNG;177 g;256GB;6GB;;SEC | Exynos 2100;32MP;Más de 10MP;12MP + 12MP + 8MP;4500 mAh;;"Entre 5.5 a 6.9 """;"6.4""";Android > a 5.0;Android 12;Desbloqueado;Sí;USB-C;4G / Wi-Fi / USB / Bluetooth / NFC;No;Sí;Dynamic AMOLED 2X;Single Chip;;Sí;SI;Sí;Sí;Sí;Sí;No;Sí;Desbloqueado;No;No;MP4,M4V,3GP,3G2,WMV,ASF,AVI,FLV,MKV,WEBM;MP3,M4A,3GA,AAC,OGG,OGA,WAV,WMA,AMR,AWB,FLAC,MID,MIDI,XMF,MXMF,IMY,RTTTL,RTX,OTA,DFF,DSF,APE;2.8GHz,2.4GHz,1.8GHz;4500 mAh;1 año;Celulares y smartphones;SM-G990E;15.57;7.45;0.79
"CELULAR SAMSUNG GALAXY S22+ 6.6"" 8GB 128GB 50MP + 10MP + 12MP ROSADO";S/ 4,599;S/ 4,399;SAMSUNG;195;128GB;8GB;;Qualcomm | SM8450;10MP;Más de 10MP;50MP + 10MP + 12MP;;;Entre 4.5 a 4.9'';6.6;Android > a 5.0;Android 12;Desbloqueado;;;5G;;;Dynamic AMOLED 2X;Single Chip;;;;Sí;;;;;Sí;Desbloqueado;Sí;No;Sí;Sí;2.99GHz, 2.4GHz, 1.7GHz;4500 mAh;1 año;Celulares y smartphones;S22+;;;
"CELULAR XIAOMI REDMI 10A 6.52"" 3GB 64GB 13MP + 2MP GRIS";S/ 609;S/ 599;XIAOMI;0.192;64GB;3GB;Mediatek; Helio G25;5MP;Más de 10MP;13MP + 2MP;5000 mAh;;"Entre 5.5 a 6.9 """;"6.52""";Android > a 5.0;Android 12;Desbloqueado;No;Micro USB;4G / Wi-Fi / Bluetooth;Sí;Sí;HD;Doble Chip;;No;;No;No;Sí;Sí;;Sí;;No;No;720p, 1280×720 | a 30 fps;MP3;2.0 GHz;5000 mAh;1 año ;Celulares y Smartphones;Redmi 10A;16.49;7.67;0.909
CELULAR HONOR X7 6.74'' 4GB 128GB 48MP + 5MP + 2MP + 2MP PLATEADO; ; ;HONOR;;128GB;4GB;;;8 MP;Más de 10MP;48 + 5 + 2 + 2 MP;5000 mAh;;"Entre 5.5 a 6.9 """;6.74'';Android > a 5.0;;Desbloqueado;No;;4G, 3G, 2G;;Sí;LCD;;;Sí;;Sí;No;Sí;Sí;No;Sí;Desbloqueado;Sí;Sí;3gp, mp4, webm, mkv;mp3, mid, amr, awb, 3gp, mp4, m4a, aac, wav, ogg, flac, mkv;4 * A73 2.4GHz + 4 * A53 1.9GHz;;1 año;Celulares y smartphones;Honor X7;16.75 cm;7.71 cm;0.86 cm
CELULAR XIAOMI REDMI 10C 6.71'' 4GB 64GB 50MP + 2MP OCEAN BLUE;S/ 729;S/ 699;XIAOMI;0.19;64GB;4GB;Snapdragon;Snapdragon 680;5 MP ;Más de 10MP;50MP + 2MP;5.000 mAh;;"Entre 5.5 a 6.9 """;6.71;Android > a 5.0;Android 11;Desbloqueado;No;USB-C;4G / Wi-Fi / Bluetooth / USB;Sí;Sí;LCD;Doble Chip;;Sí;Sí;No;No;Sí;Sí;No;Sí;Desbloqueado;No;No;;;2,3 GHz ;5.000 mAh;1 año;Celulares y smartphones;Redmi 10C ;16.95;0.829;7.65
"SMARTPHONE XIAOMI REDMI 10 2022 6.5"" 128GB 50MP + 8MP + 2MP + 2MP PEBBLE WHITE";S/ 859;S/ 839;XIAOMI;181;128GB;4GB;;;50 MP + 8 MP + 2 MP +2 MP;De 7.1 a 9MP;8MP;5000 mAh;;"Entre 5.5 a 6.9 """;6.5;Android > a 5.0;;Desbloqueado;No;;4G;;Sí;Full HD;;;No;;No;No;Sí;;No;Sí;Desbloqueado;Sí;No;;MP4;2.0 GHZ;;1 Año;Celulares y smartphones;REDMI 10 2022;16.2;7.55;0.89
"CELULAR SAMSUNG GALAXY S22 6.1"" 8GB 128GB 50MP + 10MP + 12MP ROSADO";S/ 3,499;S/ 3,299;SAMSUNG;167;128GB;8GB;;Qualcomm | SM8450;10MP;Más de 10MP;50MP + 10MP + 12MP;;;Entre 4.5 a 4.9'';6.1;Android > a 5.0;Android 12;Desbloqueado;;;5G;;;Dynamic AMOLED 2X;Single Chip;;;;Sí;;;;;Sí;Desbloqueado;Sí;No;Sí;Sí;2.99GHz, 2.4GHz, 1.7GHz;3700 mAh;1 año;Celulares y smartphones;S22;;;
"CELULAR MOTOROLA EDGE 30 PRO 6.9"" 12GB 50MP + 50MP + 2MP AZUL";S/ 2,899;S/ 2,799;MOTOROLA;0.196;256GB;12GB;Snapdragon;Snapdragon 8 Gen ;60MP;Más de 10MP;50 MP + 50 MP + 2MP;4800 mAh;;"Entre 5.5 a 6.9 """;"6.9""";Android > a 5.0;Android 12;Desbloqueado;No;USB-C;5G;Sí;Sí;;Single Chip;;Sí;Sí;Sí;Sí;Sí;Sí;;Sí;;Sí;No;8K@24fps, 4K@30fps, 1080p@30/60/120/240/960fps, HDR10+ 10 bits, EIS;8K@24fps, 4K@30fps, 1080p@30/60/120/240/960fps, HDR10+ 10 bits, EIS;3GHz;4800 mAh;;Celulares y Smartphones;EDGE 30 PRO;16.36;0.88;7.6
CELULAR XIAOMI REDMI NOTE 11 4GB 128GB STAR BLUE; ; ;XIAOMI;0.179;128 GB;4GB;QUALCOMM SNAPDRAGON;Snapdragon 680 (6 nm);13MP;Más de 10MP;50MP+8MP+2MP+2MP;5.000 mAh;;"Entre 5.5 a 6.9 """;"6.43""";Android > a 5.0;Android 11;Desbloqueado;No;USB-C;4G / Wi-Fi / Bluetooth / USB;Sí;Sí;LCD;Doble Chip;;Sí;Sí;No;No;Sí;Sí;No;Sí;Desbloqueado;No;No;Resolución HD+ (1.650 x 720 píxeles);Sí;2.3 GHz ;5.000 mAh;1 año;Celulares y Smartphones;NOTE 11;15.98;0.809;7.37
"CELULAR SAMSUNG GALAXY S21 FE 6.4"" 5G 128GB 6GB 12MP + 12MP + 8MP VIOLETA";S/ 2,899;S/ 2,499;SAMSUNG;177 g;128GB;6GB;EXYNOS;Octa-Core;32MP;Más de 10MP;12MP + 12MP + 8MP;4500 mAh;;"Entre 5.5 a 6.9 """;"6.4""";Android > a 5.0;Android 12;Desbloqueado;IP68;USB-C;4G / Wi-Fi / USB / Bluetooth / NFC;No;Sí;Dynamic AMOLED 2X;Single Chip;;Sí;Sí;Sí;Sí;Sí;Sí;No;Sí;Desbloqueado;No;No;MP4,M4V,3GP,3G2,WMV,ASF,AVI,FLV,MKV,WEBM;MP3,M4A,3GA,AAC,OGG,OGA,WAV,WMA,AMR,AWB,FLAC,MID,MIDI,XMF,MXMF,IMY,RTTTL,RTX,OTA,DFF,DSF,APE;2.8GHz,2.4GHz,1.8GHz;4500 mAh;1 año;Celulares y Smartphones;SM-G990E;15.57;7.45;0.79
"IPHONE 13 PRO MAX 6.7"" 128GB 12MP + 12MP - PLATA"; ; ;APPLE;;128GB;;;;12MP;Más de 10MP;12MP;;;"Entre 5.5 a 6.9 """;;iOS;;Desbloqueado;;;5G;;;;Single Chip;;;;No;;;;;Sí;;Sí;;;;;;1 año;Celulares y smartphones;iPhone 13 Pro Max;16.08;7.81;0.76
"APPLE IPHONE SE 4.7"" 128GB 7MP 12MP ROJO";S/ 2,699;S/ 2,499;APPLE;0.285;128GB;No aplica;;;7MP;Más de 10MP;12MP;No aplica;;Entre 4.5 a 4.9'';"4.7""";iOS;;Desbloqueado;IP67;;5G / Wi-Fi / Bluetooth;;Sí;Retina HD;;;Sí;;No;Sí;Sí;Sí;No;Sí;Desbloqueado;Sí;;No aplica;AAC, MP3, Apple Lossless, FLAC, Dolby Digital y Dolby Digital Plus (entre otros);No aplica;;1 año;;iPhone SE;15.7;8.59;2.61
CELULAR REALME 21Y 6.5'' 4GB RAM 64GB 13MP + 2MP + 2MP NEGRO;S/ 699;S/ 669;REALME;189 g;64GB;4GB;;UNISOC T610;5MP;Más de 10MP;13MP + 2MP + 2MP;;;Entre 4.5 a 4.9'';6.5;Android > a 5.0;;Desbloqueado;;;4G LTE;;;LCD IPS;Doble Chip;;;;Sí;;;;;Sí;Desbloqueado;No;No;MP4;AAC, AMR, AWB, MIDI, MP3;Octa-Core 1.8 GHz;5000 mAh;1 año;Celulares y smartphones;Realme 21Y;0.89;7.642;16.52
CELULAR HONOR X9 BLACK;S/ 1,499;S/ 1,349;HONOR;-;128GB;8GB;SNAPDRAGON;Qualcomm Snapdragon 680;16MP;Más de 10MP;64+8+2+2MP;4800mAh;;"Entre 5.5 a 6.9 """;6.9;Android > a 5.0;Android 11;Desbloqueado;No;USB-C;4G / Wi-Fi / Bluetooth;Sí;Sí;IPS;Doble Chip;;Sí;Sí;Sí;No;Sí;Sí;No;Sí;Desbloqueado;Sí;No;3GP, MPEG4, REALMEDIA, H.264, H.263, HEVC / H.265 , VP9;MIDIS, WAP, AMR, AAC, MP3, AWB, 3GP, M4A, OGG, FLAC, MP4, WAV, MKV;4 x A73 2.4GHz+4 x A53 1.9GHz;;1 año;Celulares y Smartphones;ANY-LX3;-;-;-
XIAOMI REDMI NOTE 10S 6.43'' 128GB 64MP + 8MP + 2MP + 2MP; ; ;XIAOMI;;128GB;6GB;;Mediatek Helio G95;;Más de 10MP;64MP + 8MP + 2MP + 2MP;;;Entre 4.5 a 4.9'';6.43;Android > a 5.0;Android 10;;;;4G LTE;;;Full HD;Doble Chip;;;;Sí;;;;;Sí;;Sí;No;3gp, mp4;mp3, mp4, 3gp, ogg, amr, aac, flac, wav, midi;Octacore 2.05Ghz;5000 mAh;1 año;Celulares y smartphones;Redmi Note 10S;16.05;7.45;
"CELULAR XIAOMI REDMI 10A 6.52"" 3GB 64GB 13MP + 2MP PLATEADO";S/ 609;S/ 599;XIAOMI;0.192;64GB;3GB;Mediatek; Helio G25;5MP;Más de 10MP;13MP + 2MP;5000 mAh;;"Entre 5.5 a 6.9 """;"6.52""";Android > a 5.0;Android 12;Desbloqueado;No;Micro USB;4G / Wi-Fi / Bluetooth;Sí;Sí;HD;Doble Chip;;No;;No;No;Sí;Sí;;Sí;;No;No;720p, 1280×720 | a 30 fps;MP3;2.0 GHz;5000 mAh;1 año ;Celulares y Smartphones;Redmi 10A;16.49;7.67;0.909
"CELULAR XIAOMI REDMI 10A 6.52"" 3GB 64GB 13MP + 2MP AZUL";S/ 609;S/ 599;XIAOMI;0.192;64GB;3GB;Mediatek; Helio G25;5MP;Más de 10MP;13MP + 2MP;5000 mAh;;"Entre 5.5 a 6.9 """;"6.52""";Android > a 5.0;Android 12;Desbloqueado;No;Micro USB;4G / Wi-Fi / Bluetooth;Sí;Sí;HD;Doble Chip;;No;;No;No;Sí;Sí;;Sí;;No;No;720p, 1280×720 | a 30 fps;MP3;2.0 GHz;5000 mAh;1 año ;Celulares y Smartphones;Redmi 10A;16.49;7.67;0.909
"IPHONE 13 6.1"" 256GB 12MP + 12MP AZUL";S/ 4,999;S/ 4,899;APPLE;173 g;256GB;;;;12MP;Más de 10MP;12MP;;;"Entre 5.5 a 6.9 """;6.1;iOS;;Desbloqueado;;;5G;;;;Single Chip;;;;No;;;;;Sí;;Sí;;;;;;1 año;Celulares y smartphones;iPhone 13;0,76;7,15;14,67
"IPHONE 13 6.1"" 256GB 12MP + 12MP - AZUL MEDIANOCHE";S/ 4,999;S/ 4,899;APPLE;;256GB;;;;12MP;Más de 10MP;12MP;;;Entre 4.5 a 4.9'';6.1;iOS;;Desbloqueado;;;5G;;;;Single Chip;;;;No;;;;;Sí;;Sí;;;;;;1 año;Celulares y smartphones;iPhone 13;0,76;7,15;14,67
"IPHONE 13 PRO 6.1"" 256GB 12MP + 12MP - AZUL SIERRA";S/ 5,999;S/ 5,899;APPLE;203 g;256GB;;;;12MP;Más de 10MP;12MP;;;"Entre 5.5 a 6.9 """;6.1;iOS;;Desbloqueado;;;5G;;;;Single Chip;;;;No;;;;;Sí;;Sí;;;;;;1 año;Celulares y smartphones;iPhone 13 Pro;14.67;7.15;0.76
"IPHONE 13 PRO 6.1"" 128GB 12MP + 12MP ORO"; ; ;APPLE;203 g;128GB;;;;12MP;Más de 10MP;12MP;;;"Entre 5.5 a 6.9 """;6.1;iOS;;Desbloqueado;;;5G;;;;Single Chip;;;;No;;;;;Sí;;Sí;;;;;;1 año;Celulares y smartphones;iPhone 13 Pro;0,76;7,15;14,67
IPHONE 13 PRO MAX 6.7'' 128GB 12MP + 12MP + 12MP VERDE ALPINO;S/ 6,199;S/ 5,999;APPLE;238 g;128GB;;;Chip A15 Bionic;12MP;Más de 10MP;12MP + 12MP + 12MP;;;"Entre 5.5 a 6.9 """;;iOS;;Desbloqueado;;;5G;;;Super Retina XDR;;;;;Sí;;;;No;;Desbloqueado;Sí;;Sí;Sí;;;1 año;Celulares y smartphones;iPhone 13 Pro Max;16.08 cm;7.81 cm;0.76 cm
IPHONE 13 6.1'' 256GB 12MP + 12MP VERDE;S/ 4,999;S/ 4,899;APPLE;173 g;256GB;;;Chip A15 Bionic;12MP;Más de 10MP;12MP + 12MP;;;"Entre 5.5 a 6.9 """;;iOS;;Desbloqueado;;;5G;;;Super Retina XDR;;;;;Sí;;;;No;;Desbloqueado;Sí;;Sí;Sí;;;1 año;Celulares y smartphones;iPhone 13;14.67 cm;7.15 cm;0.76 cm
"CELULAR REALME C35 6"" 4GB 128GB 50MP + 2MP NEGRO";S/ 859;S/ 809;REALME;0.189;128GB;4GB;UNISOC OCTA CORE;UNISOC TIGER;8MP;Más de 10MP;50MP + 2MP;5000 mAh;;"Entre 5.5 a 6.9 """;"6""";Android > a 5.0;Android 11;Desbloqueado;1 ATM;C;4G;Sí;Sí;Cristal líquido;Single Chip;;Sí;Sí;Sí;Sí;Sí;Sí;No;Sí;Desbloqueado;Sí;Sí;HD;ACC y más;Hasta 2.2 GHZ;;1 año;Celulares y Smartphones;C35;16.44;7.56;0.81
"CELULAR REALME C35 6"" 4GB 128GB 50MP + 2MP VERDE";S/ 859;S/ 809;REALME;0.189;128GB;4GB;UNISOC OCTA CORE;UNISOC TIGER;8MP;Más de 10MP;50MP + 2MP;5000 mAh;;"Entre 5.5 a 6.9 """;"6""";Android > a 5.0;Android 11;Desbloqueado;1 ATM;C;4G;Sí;Sí;Cristal líquido;Single Chip;;Sí;Sí;Sí;Sí;Sí;Sí;No;Sí;Desbloqueado;Sí;Sí;HD;ACC y más;Hasta 2.2 GHZ;;1 año;Celulares y Smartphones;C35;16.44;7.56;0.81
CELULAR REALME C11 6.5'' 8MP GRIS;S/ 519;S/ 499;REALME;191;32GB;2GB;;Spreadtrum SC9863A;5MP;;8MP;;;Entre 4.5 a 4.9'';6.5;Android > a 5.0;;Desbloqueado;;;4G LTE;;;LCD;Doble Chip;;;;Sí;;;;;Sí;Desbloqueado;No;No;MP4;AAC, AMR, AWB, MIDI, MP3;Octa Core 4 x 1.6 + 4 x 1.2 Ghz;5000 mAh;1 año;Celulares y smartphones;Realme C11;16.52;0.89;7.64
CELULAR XIAOMI REDMI 9C 6.53'' 3GB 64GB 13MP + 5MP + 2MP GRIS;S/ 639;S/ 599;XIAOMI;196;64GB;3GB;;;5MP;Más de 10MP;13MP + 5MP + 2MP;5000 mAh;;"Entre 5.5 a 6.9 """;6.53;Android > a 5.0;;Desbloqueado;No;;4G;;Sí;LCD;;;No;;No;Sí;Sí;No;No;Sí;Desbloqueado;Sí;No;Sí;Sí;2.3 GHz;5000 mAh;1 año;Celulares y smartphones;Redmi 9C;7.7;0.9;16.49
CELULAR XIAOMI REDMI NOTE 11 PRO 6GB 128GB STAR BLUE; ; ;XIAOMI;202;128GB;6GB;;Mediatek Helio G96;16MP;Más de 10MP;108MP + 8MP + 2MP + 2MP;;;"Entre 5.5 a 6.9 """;6.67;Android 11;;Desbloqueado;;;4G;;;Full HD;Doble Chip;;;;;;;;;Sí;Desbloqueado;;Sí;;;Octacore 2.05 Ghz;5000mAH;1 año;Celulares y smartphones;REDMI NOTE 11 PRO;0.81;7.61;16.42
CELULAR XIAOMI REDMI 9C 64GB DOBLE CHIP 13MP+5MP+2MP SUNRISE ORANGE; ; ;XIAOMI;196;64GB;3GB;;MediaTek Helio G35;5MP;Más de 10 MP;13MP + 5MP + 2MP;;;Entre 4.5 a 4.9'';6.53;Android > a 5.0;;Desbloqueado;;;4G;;;LCD;Doble Chip;;;;;;;;;Sí;Desbloqueado;;Sí;;;Octacore 2.3 Ghz;5000mAH;1 año;Celulares y smartphones;Redmi 9C;0.9;7.7;16.49
CELULAR REALME C11 6.5'' 8MP AZUL;S/ 519;S/ 499;REALME;191;32GB;2GB;;Spreadtrum SC9863A;5MP;;8MP;;;Entre 4.5 a 4.9'';6.5;Android > a 5.0;;Desbloqueado;;;4G LTE;;;LCD;Doble Chip;;;;Sí;;;;;Sí;Desbloqueado;No;No;MP4;AAC, AMR, AWB, MIDI, MP3;Octa Core 4 x 1.6 + 4 x 1.2 Ghz;5000 mAh;1 año;Celulares y smartphones;Realme C11;16.52;7.64;0.89
CELULAR XIAOMI REDMI 9C 64GB DOBLE CHIP 13MP+5MP+2MP AURORA GREEN;S/ 629;S/ 599;XIAOMI;0.196;64GB;3GB;;;5MP;Más de 10MP;13MP + 2MP + 2MP;5000 mAh;;"Entre 5.5 a 6.9 """;6.53'';Android > a 5.0;Android 10;Desbloqueado;No;;4G / Wi-Fi / Bluetooth;;Sí;AMOLED;;;Sí;;No;No;Sí;Sí;No;Sí;Desbloqueado;No;No;1080p y 30 fps;;;5.000 mAh;1 año ;Celulares y smartphones;Redmi 9C;16.49;0.9;7.7
CELULAR XIAOMI 12 6.28'' 8GB 256GB 50MP + 13MP + 5MP MORADO;S/ 3,459;S/ 3,359;XIAOMI;180;256GB;8GB;;;32MP;Más de 10MP;50MP + 13MP + 5MP;4500 mAH;;"Entre 5.5 a 6.9 """;6.28;Android > a 5.0;;Desbloqueado;No;;5G;;Sí;AMOLED;;;Sí;;No;Sí;Sí;No;No;Sí;Desbloqueado;Sí;Sí;Sí;Sí;3.00 GHz;4500 mAh;1 año;Celulares y smartphones;Xiaomi 12;6.99;0.81;15.27
"CELULAR REALME 9I RMX3491 6.6"" 6GB 128GB 16MP 2MP NEGRO PRISMA";S/ 1,159;S/ 1,043;REALME;190;128 GB;6GB;;;16 MP;Hasta 3MP;2MP;5000 mAh;;"Entre 7 a 8""";"6.6""";Android > a 5.0;;Desbloqueado;No;;4G LTE;;Sí;Full HD;;;Sí;;No;Sí;Sí;Sí;No;Sí;Desbloqueado;Sí;Sí;Full HD;MP3, MP4;Ocho núcleos, 6 nm, hasta 2,4 GHz;5000 mAh;1 año;Celulares y smartphones;9i;16.44;7.57;0.84
"IPHONE 13 PRO 6.1"" 256GB 12MP + 12MP PLATA";S/ 5,999;S/ 5,899;APPLE;203 g;256GB;;;;12MP;Más de 10MP;12MP;;;"Entre 5.5 a 6.9 """;6.1;iOS;;Desbloqueado;;;5G;;;;Single Chip;;;;No;;;;;Sí;;Sí;;;;;;1 año;Celulares y smartphones;iPhone 13 Pro;0,76;7,15;14,67
"CELULAR HONOR 50 5G 6.57"" 256GB 8GB 108MP + 8MP + 2MP + 2MP";S/ 2,999;S/ 2,799;HONOR;175;256GB;8GB;;Qualcomm Snapdragon 778G;32MP;Más de 10MP;108MP + 8MP + 2MP + 2MP;;;Entre 4.5 a 4.9'';6.57;Android > a 5.0;;Desbloqueado;No;;5G;;;;Doble Chip;;Sí;;Sí;Sí;Sí;;No;Sí;;Sí;No;3gp, mp4;mp3, mp4, 3gp, ogg, amr, aac, flac, wav, midi;4 x Cortex-A78 2.4GHz + 4 x Cortex-A55 1.8GHz;4300mAh;2 Años;Celulares y smartphones;Honor 50;0.778;7.376;15.996
"CELULAR REALME 9I RMX3491 6.6"" 6GB 128GB 16MP 2MP AZUL PRISMA";S/ 1,159;S/ 1,043;REALME;;128 GB;6GB;;;16 MP;Hasta 3MP;2MP;5000 mAh;;"Entre 7 a 8""";;Android > a 5.0;;Desbloqueado;No;;4G LTE;;Sí;Full HD;;;Sí;;No;Sí;Sí;Sí;No;Sí;Desbloqueado;Sí;Sí;Full HD;MP3, MP4;Ocho núcleos, 6 nm, hasta 2,4 GHz;5000 mAh;1 año;Celulares y smartphones;9i;16.44;7.57;0.84
CELULAR SAMSUNG GALAXY A22 5G 6.6'' 4GB 128GB 48MP + 5MP + 2MP GRIS; ; ;SAMSUNG;203;128GB;4GB;;Octacore | MT6833V;8MP;Más de 10MP;48MP + 5MP + 2MP;;;Entre 4.5 a 4.9'';6.6;Android > a 5.0;;Desbloqueado;;;5G;;;TFT;Single Chip;;;;Sí;;;;;Sí;Desbloqueado;Sí;Sí;Sí;Sí;2.2GHz, 2.0GHz;5000 mAh;1 año;Celulares y smartphones;A22-5G;16.72;7.64;0.9
CELULAR REALME 21Y 6.5'' 4GB RAM 64GB 13MP + 2MP + 2MP AZUL;S/ 699;S/ 669;REALME;189 g;64GB;4GB;;UNISOC T610;5MP;Más de 10MP;13MP + 2MP + 2MP;;;Entre 4.5 a 4.9'';6.5;Android > a 5.0;;Desbloqueado;;;4G LTE;;;LCD IPS;Doble Chip;;;;Sí;;;;;Sí;Desbloqueado;No;No;MP4;AAC, AMR, AWB, MIDI, MP3;Octa-Core 1.8 GHz;5000 mAh;1 año;Celulares y smartphones;Realme 21Y;16.52;7.64;0.89
CELULAR XIAOMI REDMI NOTE 11 PRO 6GB 128GB GRAPHITE GRAY; ; ;XIAOMI;202;128GB;6GB;;Mediatek Helio G96;16MP;Más de 10MP;108MP + 8MP + 2MP + 2MP;;;"Entre 5.5 a 6.9 """;6.67;Android 11;;Desbloqueado;;;4G;;;Full HD;Doble Chip;;;;;;;;;Sí;Desbloqueado;;Sí;;;Octacore 2.05 Ghz;5000mAH;1 año;Celulares y smartphones;REDMI NOTE 11 PRO;0.81;7.61;16.42
"APPLE IPHONE 13 MINI PINK - 128 GB 5.4"" 12MP + 12MP + 12MP + 12MP"; ; ;APPLE;0.14;128 GB;;;;12MP;Más de 10MP;12MP + 12MP + 12MP;;;Entre 5 a 5.4'';;iOS;;Desbloqueado;IPX7;;;;Sí;OLED;;;No;;No;Sí;Sí;Sí;No;Sí;Desbloqueado;Sí;No;Sí;Sí;;;1 año;Celulares y smartphones;13 mini;13.15;0.765;6.42
"CELULAR HUAWEI NOVA Y90 6.67"" 6GB 128GB 50MP + 2MP + 2MP MIDNIGHT BLACK";S/ 1,099;S/ 989;HUAWEI;0.43;128GB;6GB;Qualcomm Snapdragon;Qualcomm Snapdragon™ 680;8MP;Más de 10MP;50MP + 2MP + 2MP;5000 mAh;;"Entre 5.5 a 6.9 """;"6.67""";EMUI > a 10;Android 12;Desbloqueado;No;USB-C;Wi-Fi / Bluetooth / WLAN;Sí;Sí;LCD;Single Chip;;No;;Sí;No;;;;Sí;;Sí;No;;Histen, *.mp3,*.mid,*.amr,*.awb,*.3gp,*.mp4,*.m4a,*.aac,*.wav,*.ogg,*.flac,*.mkv;-;5000 mAh;1 Año;Celulares y Smartphones;Cartier-L23D;18.8;9.3;5.9
"CELULAR REALME 9 6.4"" 8GB 108MP BLANCO";S/ 1,299;S/ 1,169;REALME;0.178;128GB;8GB;SNAPDRAGON;Snapdragon;16MP;Más de 10MP;108MP;5000 mAh;;"Entre 5.5 a 6.9 """;"6.4""";Android > a 5.0;Android 12;Desbloqueado;No;USB-C;4G LTE;Sí;Sí;Súper AMOLED;Doble Chip;;Sí;;Sí;Sí;Sí;Sí;;Sí;;Sí;Sí;30FPS;MP3. AAC;2.4GHZ;;1 año;Celulares y Smartphones;REALME 9;16.02;7.33;0.79
IPHONE SE 64GB ROJO;S/ 2,499;S/ 2,299;APPLE;0.285;64GB;No aplica;A15 Bionic;Apple Chip A15 Bionic;7Mpx;Más de 10MP;12MPx;No aplica;;Entre 4.5 a 4.9'';"4.7""";iOS;iOS 15;Desbloqueado;;Lightning;;Sí;Sí;;Single Chip;;Sí;;No;;;;;Sí;;Sí;No;No aplica;No aplica;No aplica;;1 año;Celulares y Smartphones;iPhone SE;2.61;8.59;15.7
"CELULAR REALME 9 6.4"" 8GB 108MP NEGRO";S/ 1,299;S/ 1,169;REALME;0.178;128GB;8GB;SNAPDRAGON;Snapdragon;16MP;Más de 10MP;108MP;5000 mAh;;"Entre 5.5 a 6.9 """;"6.4""";Android > a 5.0;Android 12;Desbloqueado;No;USB-C;4G LTE;Sí;Sí;Súper AMOLED;Doble Chip;;Sí;;Sí;Sí;Sí;Sí;;Sí;;Sí;Sí;30FPS;MP3. AAC;2.4GHZ;;1 año;Celulares y Smartphones;REALME 9;16.02;7.33;0.79
IPHONE SE 64GB BLANCO ESTELAR;S/ 2,499;S/ 2,299;APPLE;0.285;64GB;No aplica;A15 Bionic;Apple Chip A15 Bionic;7Mpx;Más de 10MP;12MPx;No aplica;;Entre 4.5 a 4.9'';"4.7""";iOS;iOS 15;Desbloqueado;;Lightning;;Sí;Sí;;Single Chip;;Sí;;No;;;;;Sí;;Sí;No;No aplica;No aplica;No aplica;;1 año;Celulares y Smartphones;iPhone SE;2.61;8.59;15.7
