bat;brand;cam_front;cam_main;condition;conect;cores;cpu_vel;mem_int;mem_ram;os;phone;screen_size;screen_type;warranty;water_res;price_norm;price_off;retail
4800;motorola;60;50;nuevo;5g;8;;256;12;android;moto edge 30 pro;6.9;oled;0;no;2899;2799;ripley
5000;motorola;13;50;nuevo;4g;8;2.4;128;4;android;moto g31;6.4;oled;12;no;699;669;ripley
5000;motorola;13;50;nuevo;4g;8;2.4;128;4;android;moto g31;6.4;oled;0;no;699;669;ripley
5000;huawei;8;50;nuevo;;8;;128;6;android;nova y90 ;6.67;ips;12;no;1099;989;ripley
5000;xiaomi;13;64;nuevo;4g;8;2.05;128;6;android;poco m5s ;6.43;amoled;12;no;1099;949;ripley
5000;xiaomi;13;64;nuevo;4g;8;;128;6;android;poco m5s ;6.43;amoled;12;no;1099;949;ripley
5000;realme;5;13;nuevo;4g;8;1.8;64;4;android;realme 21y;6.5;ips;12;;699;669;ripley
5000;realme;5;13;nuevo;4g;8;1.8;64;4;android;realme 21y;6.5;ips;12;;699;669;ripley
5000;realme;16;108;nuevo;4g;8;2.4;128;8;android;realme 9;6.4;amoled;12;no;1299;1169;ripley
5000;realme;16;2;nuevo;4g;8;;128;6;;realme 9i rmx3491;6.6;full hd;12;no;1159;1043;ripley
5000;realme;16;2;nuevo;4g;8;;128;6;;realme 9i rmx3491;;full hd;12;no;1159;1043;ripley
5000;realme;8;50;nuevo;4g;8;2.2;128;4;android;realme c;6;ips;12;si;859;809;ripley
5000;realme;5;8;nuevo;4g;8;1.6;32;2;;realme c11;6.5;ips;12;;519;499;ripley
;xiaomi;8;50;nuevo;4g;8;2;128;4;;redmi 10 2022;6.5;ips;12;no;859;839;ripley
5000;xiaomi;5;13;nuevo;4g;8;2;64;3;android;redmi 10a ;6.52;hd;12;no;609;599;ripley
5000;xiaomi;5;50;nuevo;4g;8;2.4;64;4;android;redmi 10c;6.71;ips;12;no;729;699;ripley
5000;xiaomi;5;13;nuevo;4g;8;2;32;2;;redmi 9a ;6.53;led;12;no;489;469;ripley
5000;xiaomi;5;13;nuevo;4g;8;2.3;64;3;;redmi 9c;6.53;ips;12;no; ; ;ripley
5000;xiaomi;5;13;nuevo;4g;8;;64;3;android;redmi 9c;6.53;amoled;12;no;629;599;ripley
5000;xiaomi;5;13;nuevo;4g;8;2.3;64;3;;redmi 9c ;6.53;ips;12;no;639;599;ripley
5000;xiaomi;;64;nuevo;4g;8;2.05;128;6;android;redmi note 10s ;6.43;ips;12;; ; ;ripley
5000;xiaomi;13;50;nuevo;4g;8;2.4;128;4;;redmi note 11;6.43;ips;12;no;979;949;ripley
5000;xiaomi;13;50;nuevo;4g;8;2.3;128;4;android;redmi note 11;6.43;ips;12;no; ; ;ripley
5000;xiaomi;16;108;nuevo;4g;8;2.05;128;6;;redmi note 11 ;6.67;ips;12;no; ; ;ripley
5000;xiaomi;16;108;nuevo;4g;8;2.05;128;6;;redmi note 11 pro;6.67;ips;12;; ; ;ripley
5000;samsung;5;48;nuevo;4g;8;1.6;32;3;;samsung;6.5;;12;; ; ;ripley
;vivo;5;13;nuevo;4g;8;;64;4;android;vivo y16;;;12;no; ; ;ripley
;vivo;8;64;nuevo;4g;8;2;128;8;android;vivo y53s;;;12;no; ; ;ripley
